INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (25, 17, '2021-03-06 15:40:35', '2021-03-09 00:32:18', 2, 147, 0, 4500, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (6, 150, '2020-12-20 19:11:51', '2021-01-02 20:49:29', 2, 854, 1, 10500, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (23, 248, '2020-02-03 13:23:40', '2020-02-05 06:01:10', 2, 178, 1, 300, 'money');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (28, 62, '2020-01-31 18:02:19', '2020-02-01 21:45:36', 2, 462, 1, 3600, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (19, 42, '2020-10-06 02:46:46', '2020-10-15 16:25:22', 2, 840, 0, 22000, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (13, 41, '2020-01-16 01:56:00', '2020-01-17 20:47:21', 2, 100, 1, 2400, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (25, 13, '2021-05-16 03:50:17', '2021-05-17 03:37:14', 2, 188, 1, 1300, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (19, 26, '2020-07-20 08:01:57', '2020-07-23 02:00:51', 2, 102, 1, 6000, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (17, 53, '2020-07-22 21:42:13', '2020-07-24 09:18:26', 2, 268, 0, 1300, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (32, 94, '2020-01-25 16:16:00', '2020-01-27 07:52:59', 2, 698, 0, 1900, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (26, 55, '2020-06-10 07:06:59', '2020-06-15 03:54:07', 2, 2255, 0, 8765, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (22, 180, '2020-06-30 02:32:55', '2020-07-02 10:32:35', 2, 294, 0, 3900, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (10, 108, '2021-02-25 13:00:42', '2021-02-27 11:44:00', 2, 60, 0, 5000, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (32, 95, '2020-03-26 06:43:20', '2020-03-27 10:24:36', 2, 400, 0, 1900, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (5, 228, '2020-03-03 19:55:17', '2020-03-05 18:47:40', 2, 1390, 1, 2480, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (8, 191, '2020-12-01 14:19:01', '2020-12-13 14:00:17', 2, 3024, 1, 11400, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (21, 42, '2020-10-13 09:27:03', '2020-10-14 10:23:32', 2, 214, 1, 270, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (33, 250, '2021-04-04 16:25:22', '2021-04-06 18:11:47', 2, 315, 1, 6750, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (33, 12, '2020-12-19 15:38:42', '2020-12-21 07:27:35', 2, 152, 1, 4500, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (32, 141, '2021-03-18 07:24:37', '2021-03-23 10:04:06', 2, 1446, 1, 5100, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (3, 231, '2020-12-24 18:28:31', '2020-12-30 15:19:10', 2, 1578, 1, 4500, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (34, 13, '2021-01-03 19:34:49', '2021-01-06 06:27:41', 2, 120, 1, 2250, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (19, 4, '2021-05-01 05:58:10', '2021-05-03 15:35:41', 2, 90, 0, 6600, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (32, 151, '2020-07-12 12:42:38', '2020-07-15 11:19:45', 2, 207, 1, 2550, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (35, 90, '2020-08-07 18:10:37', '2020-08-10 05:09:41', 2, 297, 0, 6000, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (13, 199, '2021-03-24 00:14:18', '2021-03-26 04:02:02', 2, 549, 0, 3900, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (30, 239, '2021-05-05 19:28:11', '2021-05-14 19:16:31', 2, 1674, 1, 4950, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (18, 158, '2020-07-19 03:35:06', '2020-07-21 02:19:24', 2, 172, 1, 700, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (17, 169, '2020-03-24 20:45:54', '2020-03-26 17:39:41', 2, 140, 0, 1300, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (21, 54, '2020-07-05 15:06:47', '2020-07-08 09:47:53', 2, 885, 1, 405, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (19, 113, '2020-08-16 13:17:01', '2020-08-17 13:10:24', 2, 275, 1, 2625, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (5, 4, '2020-05-30 16:57:49', '2020-06-03 15:36:43', 2, 1268, 1, 2200, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (12, 85, '2020-03-27 13:41:02', '2020-03-29 19:36:42', 2, 588, 0, 2550, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (9, 225, '2020-12-26 05:37:36', '2021-01-10 00:11:21', 2, 2085, 1, 25500, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (31, 104, '2020-06-16 03:34:35', '2020-06-28 18:25:30', 2, 5811, 1, 7072, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (21, 88, '2021-06-26 19:30:58', '2021-07-09 12:27:37', 1, 8073, 0, 5473, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (5, 134, '2020-12-13 14:20:54', '2020-12-15 21:14:57', 2, 750, 1, 1650, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (22, 206, '2020-03-13 00:09:06', '2020-03-18 16:04:58', 2, 1698, 0, 8394, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (17, 252, '2021-05-01 16:47:43', '2021-05-06 16:34:46', 2, 390, 1, 2750, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (14, 190, '2020-06-10 18:41:23', '2020-06-19 17:17:32', 2, 4104, 0, 7758, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (28, 190, '2021-01-12 11:58:02', '2021-01-15 07:54:49', 2, 405, 0, 6000, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (26, 103, '2020-03-01 23:59:07', '2020-03-03 12:54:50', 2, 238, 0, 2600, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (26, 115, '2021-01-21 03:57:01', '2021-01-22 08:30:27', 2, 166, 1, 2200, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (31, 196, '2020-04-09 20:26:33', '2020-04-11 18:57:06', 2, 628, 0, 800, 'money');
